geoName,year,NIH,abdominal,aerobic exercise,apnea,best workout,bike helmet,bike laws,bike locks,bike repair,bike sale,bodybuilding,calories,cholesterol,diabetes,diabetes insipidus,diabetes insulin,diabetes mellitus,diabetes symptoms,diabetic,diabetic diet,diabetic ketoacidosis,diet,dietary,dresses plus size,e-bike,ejercicios,endocrine,exercise,exercises,fitbit,fitness,fitness gym,food delivery near me,gastric,glucose,glycogen,gym,gym near me,healthy,how to exercise,how to lose weight,hyperglycemia,hypertension,iPod,icd 10 codes,inactivity,insanity workout,insulin,insulin syringes,ipod reset,jogging,ketoacidosis,malnutrition,meals,my fitness pal,nutrition,obese,obesity,pizza delivery,polyphagia,pre workout,prediabetes,quinoa gluten free,sclerosis,signs of diabetes,slim,sugar level,symptoms of congestive heart failure,symptoms of diabetes,symptoms of high blood sugar,t25 schedule,trainer,type 2,type 2 diabetes,unhealthy,visceral,weighing,weight loss,wellness,workout,yoga
Alaska,2005,5,40,0,75,0,0,0,0,100,21,23,67,86,68,0,74,0,43,72,0,0,84,22,45,0,57,80,55,66,0,43,43,0,38,55,41,53,0,66,61,55,49,44,77,0,0,0,56,0,0,86,39,75,36,0,71,47,56,65,0,0,0,0,83,0,61,0,0,63,0,0,65,60,56,23,0,56,73,51,69,47
Arizona,2005,7,57,25,54,20,33,44,48,25,32,53,78,78,67,10,17,47,36,67,23,35,77,35,19,0,27,45,65,63,0,100,94,0,40,63,17,66,0,69,21,43,25,45,68,0,37,0,57,45,69,61,18,23,59,0,73,40,44,91,34,11,13,0,59,32,60,13,30,29,46,0,67,68,43,26,17,31,65,42,74,72
Arkansas,2005,6,63,81,63,28,53,0,0,23,29,76,75,62,68,57,25,25,39,93,43,65,96,33,61,0,39,54,81,78,0,54,25,0,55,43,28,46,0,99,42,88,34,53,54,0,60,0,62,0,0,71,26,64,62,0,73,60,57,37,0,0,0,0,84,84,70,24,0,54,0,0,70,58,77,32,56,38,100,32,95,32
California,2005,10,46,24,55,30,44,46,43,21,38,51,77,66,58,15,26,29,38,44,23,17,68,32,20,42,25,42,57,57,0,97,73,0,27,62,20,68,22,75,31,43,29,43,93,0,28,0,46,13,66,59,12,21,46,100,68,44,45,91,6,4,5,9,50,16,58,22,7,39,9,0,67,56,39,30,21,43,53,36,65,94
Colorado,2005,9,52,29,62,27,37,72,100,32,63,59,84,73,62,22,20,19,35,41,17,21,75,42,21,0,25,54,68,74,0,89,45,0,33,64,24,53,0,78,34,41,14,49,83,0,64,0,61,31,75,59,15,27,60,0,83,46,44,66,18,12,10,71,68,18,59,10,0,44,32,0,67,53,31,33,9,49,70,50,80,93
Connecticut,2005,14,55,49,64,25,52,39,48,14,26,66,88,75,71,15,13,19,40,54,24,30,70,27,35,0,32,64,59,82,0,77,100,0,41,61,23,76,0,67,34,54,27,52,87,0,36,0,63,0,47,61,24,23,48,0,70,49,63,47,0,17,14,100,78,38,52,29,0,55,0,0,55,50,39,26,13,46,54,38,71,73
Delaware,2005,12,56,0,65,0,0,0,0,0,38,75,89,100,67,51,45,0,29,57,58,0,83,53,54,0,69,24,72,93,0,70,45,0,51,100,100,85,0,82,56,41,100,58,78,0,0,0,19,0,0,23,47,45,42,0,85,100,83,39,0,0,0,0,79,0,50,42,0,38,0,0,42,73,34,28,100,90,70,55,66,58
District of Columbia,2005,35,55,25,51,42,34,0,61,23,37,49,93,75,64,41,20,18,37,41,23,30,66,41,23,0,55,43,63,65,0,81,90,0,28,56,10,100,0,81,28,39,26,52,77,0,49,0,38,0,0,66,21,27,55,0,81,43,58,100,0,13,11,0,49,16,53,24,0,28,0,0,53,56,30,20,26,15,66,40,65,81
Florida,2005,6,65,22,59,39,25,23,37,14,32,71,68,76,62,16,26,23,35,66,31,25,82,27,22,61,100,46,60,70,0,72,90,0,36,62,21,74,63,75,41,46,25,48,71,0,21,0,49,11,38,60,16,13,53,0,61,44,40,62,13,4,11,26,57,20,61,21,12,33,12,0,69,49,35,23,22,31,64,39,79,53
Georgia,2005,9,60,42,65,25,29,14,36,25,27,59,70,80,67,23,20,26,46,66,50,22,84,34,42,88,39,62,66,71,0,75,72,0,38,67,15,68,0,69,46,60,28,55,71,0,30,0,57,17,55,61,19,16,59,0,67,48,45,54,10,11,13,0,55,21,62,22,17,39,17,0,64,52,40,25,19,39,78,44,86,53
Hawaii,2005,9,55,51,64,24,67,0,0,19,18,100,78,72,67,24,21,64,35,48,14,0,76,28,26,0,33,58,80,81,0,90,36,0,28,69,24,43,0,88,100,75,38,34,100,0,100,0,26,0,0,88,0,0,61,0,68,55,69,44,0,47,0,0,28,36,61,20,0,46,0,0,72,52,38,13,35,54,64,37,82,97
Idaho,2005,5,60,96,93,50,47,0,0,54,51,83,83,78,63,0,60,45,50,76,57,77,82,43,36,0,46,48,88,75,0,63,35,0,31,82,34,65,0,77,33,42,80,32,69,0,71,0,70,0,0,61,31,45,85,0,70,76,71,52,100,0,0,0,90,0,50,0,0,64,0,0,82,73,53,37,0,67,74,36,67,53
Illinois,2005,9,53,31,59,38,32,58,60,22,28,56,83,74,64,29,28,26,41,56,31,14,72,33,30,0,24,42,62,73,0,86,68,0,32,60,18,66,0,73,34,48,36,49,80,0,30,0,56,18,60,56,15,26,52,0,77,52,52,80,7,5,12,0,67,21,57,18,49,47,25,0,60,47,41,28,20,48,70,52,83,60
Indiana,2005,9,64,25,70,39,29,59,48,17,22,56,85,79,82,27,57,39,55,71,50,20,80,43,56,0,44,69,72,78,0,61,39,0,35,75,26,40,0,82,30,53,35,54,69,0,55,0,80,68,59,70,16,8,59,0,80,41,70,61,0,0,22,0,56,22,58,22,46,43,0,0,58,59,51,24,43,47,75,38,78,40
Iowa,2005,11,79,37,66,30,43,0,0,17,24,69,88,63,78,52,41,35,55,75,41,35,82,49,50,0,42,48,77,90,0,73,28,0,41,77,38,38,0,89,53,66,37,57,63,0,33,0,65,0,40,49,29,21,67,0,88,59,71,48,0,30,26,0,59,23,50,13,0,70,0,0,69,67,42,26,15,55,81,39,80,41
Kansas,2005,7,63,32,75,26,44,0,0,18,14,86,83,72,59,32,36,30,40,72,33,31,83,28,44,0,18,29,62,77,0,66,28,0,36,64,27,37,0,77,40,55,53,44,66,0,28,0,45,0,0,71,21,30,63,0,84,53,65,49,40,26,0,0,56,40,79,22,0,56,0,0,74,71,39,26,0,36,83,36,91,38
Kentucky,2005,11,64,27,86,28,40,0,0,15,34,77,82,77,85,39,40,43,44,74,55,66,91,55,36,0,39,65,75,89,0,58,37,0,51,57,38,43,0,89,80,60,23,75,52,0,80,0,68,100,41,35,44,43,60,0,82,74,100,65,0,0,0,0,78,47,57,43,100,66,100,0,67,63,48,54,19,34,91,40,78,40
Louisiana,2005,7,57,35,61,36,31,0,0,12,37,81,73,67,61,22,19,13,50,67,45,67,90,32,39,0,27,74,76,83,0,68,35,0,40,58,14,38,0,71,32,77,46,54,57,0,0,0,63,75,0,87,27,26,47,0,69,39,51,34,43,29,0,0,63,22,100,24,0,50,0,0,67,60,26,25,29,33,78,39,100,39
Maine,2005,9,40,36,55,100,36,0,0,21,20,56,92,90,79,52,45,58,73,73,44,0,76,46,49,0,0,73,59,75,0,57,53,0,31,62,38,64,0,88,69,38,81,50,66,0,54,0,55,0,0,47,36,23,62,0,68,54,53,20,0,100,0,0,100,38,51,21,0,87,0,0,54,58,35,48,50,34,55,46,70,71
